Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),ObjectId,date_new
Moama Bowling Club,"7 Blair St, Moama NSW 2731, Australia",-36.113509,144.757766,"Open 24/7
Sun - Thu 10am - 1am, Fri - Sat 10am - 2am",Chargebay,2,4,50kW,0,2,2,"54-56 Meninya Street, Moama NSW 2731",0.6,0.13,"33 Powell St, Jerilderie NSW 2716, Australia",161.85,40.43,11,23/8/2022
Gundagai Supercharger,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",-35.002013,148.109889,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"3241 Hume Hwy, Mount Adrah NSW 2729, Australia",40.8,12.59,"34 Annie Pyers Dr, Gundagai NSW 2722, Australia",0.04,0.02,12,5/5/2022
The Silos Estate (1),"640 Princes Hwy, Jaspers Brush NSW 2535, Australia",-34.808254,150.636711,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"640 Princes Hwy, Berry NSW 2535, Australia",15.9,5.57,"140 Queen St, Berry NSW 2535, Australia",8.4,1.58,13,5/5/2022
Church St Car Park,"81 Gipps St, Bega NSW 2550, Australia",-36.672876,149.843349,Open 24/7,NRMA,1,2,50 kW,0,1,1,"17 John Taylor Cres, Tathra NSW 2550, Austral, Tathra 2550",18.85,4,"176 Auckland St, Bega NSW 2550, Australia",0.8,0.25,14,5/5/2022
Snowy River Ave Car Park,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",-36.415952,148.619803,Open 24/7,NRMA,2,4,50 kW,0,2,2,"10 Kosciuszko Rd, Jindabyne NSW 2627, Australia",1.42,0.21,"Banjo Patterson Park, Kosciusko Road,, Jindabyne NSW 2627, Australia",0.9,0.11,15,5/5/2022
Snowy Hydro Discovery Centre,"4-10 Yulin Ave, Cooma NSW 2630, Australia",-36.218904,149.133653,Open 24/7,Chargefox,3,4,50 - 350 kW,0,3,1,"10 Kosciuszko Rd, Jindabyne NSW 2627, Australia",65.4,16.66,"97 Commissioner St, Cooma NSW 2630, Australia",2.48,0.3,16,5/5/2022
Jindabyne (Coming Soon),"Banjo Patterson Park, Kosciusko Road,, Jindabyne NSW 2627, Australia",-36.416336,148.625466,Open 24/7,Supercharger,6,6,,6,0,0,"10 Kosciuszko Rd, Jindabyne NSW 2627, Australia",2,0.36,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",0.88,0.22,17,10/3/2023
Cooma Supercharger,"97 Commissioner St, Cooma NSW 2630, Australia",-36.235522,149.126794,"Open 24/7
2 stalls allow non-EV parking, 2 are Tesla-only.",Supercharger,4,4 (CCS/SAE compatible),120 kW,4,0,0,"10 Kosciuszko Rd, Jindabyne NSW 2627, Australia",63.15,16.42,"4-10 Yulin Ave, Cooma NSW 2630, Australia",2.48,0.54,18,5/5/2022
Ampol Tarcutta,"32 Sydney St, Tarcutta NSW 2652, Australia",-35.277173,147.735575,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,"3241 Hume Hwy, Mount Adrah NSW 2729, Australia",13.15,3.5,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",53.88,15.98,19,5/5/2022
Jugiong Playground & Swimming Pool,"319 Riverside Dr, Jugiong NSW 2726, Australia",-34.82345,148.325444,Open 24/7,NRMA,1,2,50 kW,0,1,1,"86 Meehan St, Yass NSW 2582, Australia",63.45,18.84,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",31.65,9,20,5/5/2022
Oliver's Gundagai (1),"34 Annie Pyers Dr, Gundagai NSW 2722, Australia",-35.002379,148.109815,Open 24/7,Chargefox,2,4,50 - 350 kW,0,3,1,"3241 Hume Hwy, Mount Adrah NSW 2729, Australia",40.8,12.6,"31 Annie Pyers Dr., Gundagai NSW 2722, Australia",0.04,0.02,21,5/5/2022
Sutton Forest West,"13125 Hume Hwy, Sutton Forest NSW 2577, Australia",-34.607216,150.225169,Open 24/7,Evie Networks,4,8,350 kW,0,4,4,"238 Old Argyle Rd, Exeter NSW 2579, Australia",5.62,1.03,"15597 Hume Hwy, Marulan NSW 2579, Australia",25.65,6.89,22,23/8/2022
Berry Bowling Club,"140 Queen St, Berry NSW 2535, Australia",-34.775594,150.701087,"Open 24/7
Restaurant hours: Wed - Thurs 12PM - 9:30PM Friday 12PM - 10:30PM Saturday
11AM - 10:30PM Sunday 11AM - 9:30PM Closed Mon - Tues",NRMA,1,2,50 kW,0,1,1,"11 Coolangatta Rd, Coolangatta NSW 2535, Australia",8.88,1.9,"640 Princes Hwy, Jaspers Brush NSW 2535, Australia",10.68,2.22,23,5/5/2022
Murrumbateman Country Inn,"2 Hercules St, Murrumbateman NSW 2582, Australia",-34.96936,149.03,Open 24/7,Evie Networks,1,2,50 kW,0,1,1,"34 Isabel Dr, Murrumbateman NSW 2582, Australia",3.38,0.7,"68 Lead St, Yass NSW 2582, Australia",19.5,4.19,24,5/5/2022
Woolworths Shell Cove,"100 Cove Blvd, Shell Cove NSW 2529, Australia",-34.588646,150.866026,Open 24/7,Chargefox,2,4,100 - 350 kW,0,2,2,"211 Lake Entrance Rd, Shellharbour City Centre NSW 2529, Australia",4.28,0.82,"Figtree Grove Shopping Centre, Figtree Grove Carpark, Figtree NSW 2525, Australia",29.55,8.09,25,5/5/2022
Goulburn Gateway Service Station,"53 Sydney Rd, Goulburn NSW 2580, Australia",-34.74797324,149.7496498,Open 24/7,Chargefox,3,6,50 - 350 kW,0,3,3,"77 Lagoon St, Goulburn NSW 2580, Australia",2.02,0.25,"201 Sloane St, Goulburn NSW 2580, Australia",3.22,0.46,26,5/5/2022
Goulburn Visitor Information Centre (1),"201 Sloane St, Goulburn NSW 2580, Australia",-34.755597,149.720984,Open 24/7,Supercharger,8,8 (CCS/SAE compatible),120 kW,8,0,0,"256 Auburn St, Goulburn NSW 2580, Australia",0.48,0.17,"53 Sydney Rd, Goulburn NSW 2580, Australia",3.9,0.81,27,5/5/2022
BP Marulan Northbound,"8 George St, Marulan NSW 2579, Australia",-34.719342,149.995591,"Open 24/7
24/7",bp pulse,1,2,75 kW,0,1,1,"901 Penrose Rd, Penrose NSW 2579, Australia",25.65,5.74,"15597 Hume Hwy, Marulan NSW 2579, Australia",4.18,0.71,29,10/3/2023
BP Marulan Southbound,"15597 Hume Hwy, Marulan NSW 2579, Australia",-34.718458,150.000639,Open 24/7,bp pulse,1,2,75 kW,0,1,1,"77 Lagoon St, Goulburn NSW 2580, Australia",26.85,7.07,"8 George St, Marulan NSW 2579, Australia",4.22,0.77,30,10/3/2023
Yass (Coming Soon),"68 Lead St, Yass NSW 2582, Australia",-34.84359869,148.9139874,Open 24/7,Supercharger,12,12,250kW,0,12,0,"86 Meehan St, Yass NSW 2582, Australia",0.52,0.13,"81 Meehan St, Yass NSW 2582, Australia",0.57,0.11,31,10/3/2023
Yass Banjo Paterson Park,"81 Meehan St, Yass NSW 2582, Australia",-34.841228,148.912485,Open 24/7,NRMA,1,2,50 kW,0,1,1,"86 Meehan St, Yass NSW 2582, Australia",0.1,0.07,"68 Lead St, Yass NSW 2582, Australia",0.5,0.15,32,5/5/2022
Dan Murphy's Batemans Bay,51 Orient Street Batemans Bay NSW 2536 AU,-35.709932,150.177738,Open 24/7,Chargefox,1,2,50 kW,0,1,1,"2 Beach Rd, Batemans Bay NSW 2536, Australia",0.2,0.07,"2A Beach Rd, Batemans Bay NSW 2536, Australia",0.38,0.1,33,5/5/2022
Batemans Bay Regional Arts Aquatic & Leisure Centre,"12 Vesper St, Batemans Bay NSW 2536, Australia",-35.709671,150.173821,Open 24/7,NRMA,2,4,75 kW,0,2,2,"6 Beach Rd, Batemans Bay NSW 2536, Australia",0.62,0.12,"2A Beach Rd, Batemans Bay NSW 2536, Australia",0.52,0.11,34,10/3/2023
Batemans Bay Beach Road,"2A Beach Rd, Batemans Bay NSW 2536, Australia",-35.708511,150.175387,Open 24/7,NRMA,1,2,50 kW,0,1,1,"6 Beach Rd, Batemans Bay NSW 2536, Australia",0.38,0.07,"1 Perry St, Batemans Bay NSW 2536, Australia",0.28,0.06,35,5/5/2022
Village Centre Batemans Bay (Coming Soon),"1 Perry St, Batemans Bay NSW 2536, Australia",-35.706983,150.176006,,Supercharger,1,1,75kW,1,0,0,"6 Beach Rd, Batemans Bay NSW 2536, Australia",0.38,0.09,"2A Beach Rd, Batemans Bay NSW 2536, Australia",0.28,0.1,36,10/3/2023
Cobar,"3 Broomfield St, Cobar NSW 2835, Australia",-31.498839,145.837612,Open 24/7,NRMA,1,2,75 kW,0,1,1,"42442 Mitchell, Bourke, Australia, NSW 2840",160.55,38.56,"18 Dandaloo St, Nyngan NSW 2825, Australia",131.72,38.32,37,5/5/2022
Dandaloo St Parking Lot,"18 Dandaloo St, Nyngan NSW 2825, Australia",-31.564331,147.197013,Open 24/7,NRMA,2,4,75kW,0,2,2,"109 Whylandra St, Dubbo NSW 2830, Australia",163.8,47.06,"3 Broomfield St, Cobar NSW 2835, Australia",131.72,39.01,38,5/5/2022
Western Plains Cultural Centre,"76 Wingewarra St, Dubbo NSW 2830, Australia",-32.2494,148.609389,Open 24/7,NRMA,1,2,50 kW,0,1,1,"109 Cobra St, Dubbo NSW 2830, Australia",0.7,0.14,"70 Currajong Street, Parkes NSW 2870, Australia",118,33.52,39,5/5/2022
Neilly St Car Park,"26 Neilly St, Walgett NSW 2832, Australia",-30.020699,148.117705,Open 24/7,NRMA,1,2,75 kW,0,1,1,"Lightning Ridge District Bowling Club, 1 Agate St, Lightning Ridge NSW 2834",77.88,23.27,"Skillman's Lane, Coonamble NSW 2829, Australia",115.75,34.84,40,5/5/2022
Coonabarabran Visitors Centre,"Coonabarabran Coach Stop, Coonabarabran NSW 2357, Australia",-31.278606,149.279192,Open 24/7,NRMA,1,2,50 kW,0,1,1,"76 Dalgarno St, Coonabarabran NSW 2357, Australia",0.82,0.08,"73 Little Barber St, Gunnedah NSW 2380, Australia",106.42,26.67,41,5/5/2022
Skillman's Lane Car Park [NRMA],"Skillman's Lane, Coonamble NSW 2829, Australia",-30.95278,148.387913,Open 24/7,NRMA,2,4,50kW,0,2,2,"76 Dalgarno St, Coonabarabran NSW 2357, Australia",116,24.5,"26 Neilly St, Walgett NSW 2832, Australia",115.75,34.32,42,5/5/2022
Mitchell St Bourke,"15c Mitchell St, Bourke NSW 2840, Australia",-30.088397,145.935014,Open 24/7,NRMA,2,4,75kW,0,2,2,"42442 Mitchell, Bourke, Australia, NSW 2840",0.1,0.05,"50 Bathurst St, Brewarrina NSW 2839, Australia",97.6,29.09,43,5/5/2022
Brewarrina Visitor Information & Exhibition Centre,"50 Bathurst St, Brewarrina NSW 2839, Australia",-29.960719,146.857749,Open 24/7,NRMA,2,4,75 kW,0,2,2,"42442 Mitchell, Bourke, Australia, NSW 2840",97.6,29.02,"15c Mitchell St, Bourke NSW 2840, Australia",97.6,29.02,44,23/8/2022
NRMA Moree (Coming Soon),"28 Auburn St, Moree NSW 2400, Australia",-29.4619424,149.8407644,Open 24/7,,2,4,,0,2,2,"21 Alice St, Moree NSW 2400, Australia",1.58,0.22,"89 Barwan St, Narrabri NSW 2390, Australia",101.02,28.28,45,10/3/2023
Coffs Harbour Supercharger,"253 Pacific Highway, Coffs Harbour, NSW Australia, 2450",-30.281439,153.131666,,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"13 Gdt Seccombe Cl, Coffs Harbour NSW 2450, Australia",1.45,0.2,"380 Pacific Hwy, North Boambee Valley NSW 2450, Australia",6.9,1.24,46,5/5/2022
Kelly St Car Park,"116 Liverpool St, Scone NSW 2337, Australia",-32.050429,150.866672,Open 24/7,NRMA,1,2,50 kW,0,1,1,"205 Kelly St, Scone NSW 2337, Australia",0.7,0.13,"3483 Golden Hwy, Jerrys Plains NSW 2330, Australia",52.38,11.33,47,5/5/2022
Club Mudgee Car Park,"99 Mortimer St, Mudgee NSW 2850, Australia",-32.59372361,149.5862369,Open 24/7,NRMA,1,2,50 kW,0,1,1,"84 Market St, Mudgee NSW 2850, Australia",0.52,0.08,"Unnamed Road, Blackmans Flat NSW 2790, Australia",108,29.66,48,5/5/2022
NRMA Narrabri (Coming Soon),"89 Barwan St, Narrabri NSW 2390, Australia",-30.32509995,149.7838508,Open 24/7,,2,4,,0,2,2,65A Barwan Street Narrabri NSW,0.55,0.1,"28 Auburn St, Moree NSW 2400, Australia",101.02,28.2,49,10/3/2023
Maclean Supercharger,"56 Morpeth St, Harwood NSW 2465, Australia",-29.427083,153.239167,Open 24/7,Supercharger,4,4 (CCS/SAE compatible),120 kW,4,0,0,"1a McLachlan St, Maclean, NSW, Australia, 2463",7.4,1.36,"2848 Big River Way, Tyndale NSW 2460, Australia",20.35,4.93,50,5/5/2022
Little Barber St Parking Lot,"73 Little Barber St, Gunnedah NSW 2380, Australia",-30.978145,150.250987,Open 24/7,NRMA,1,2,50 kW,0,1,1,"342 Conadilly St, Gunnedah NSW 2380, Australia",0.98,0.16,"2 Kable Ave, Tamworth NSW 2340, Australia",76.82,19.18,51,5/5/2022
Cowra Art Gallery,"77 Darling St, Cowra NSW 2794, Australia",-33.834112,148.694404,Open 24/7,NRMA,1,2,50 kW,0,1,1,"107 Brisbane St, Cowra NSW 2794, Australia",0.22,0.09,"88 Lovell St, Young NSW 2594, Australia",71.1,18.18,52,5/5/2022
Evans St Parking,"Car park, 51 Evans St (Victoria Park), Inverell NSW 2360",-29.774714,151.114696,Open 24/7,NRMA,2,4,75kW,0,2,2,"11â€“107 Rifle Range Road, Inverell NSW 2360, Australia",2.98,0.53,"265 Grey St, Glen Innes NSW 2370, Australia",67.2,19.98,53,23/8/2022
Glen Innes Town Hall,"265 Grey St, Glen Innes NSW 2370, Australia",-29.738463,151.736308,Open 24/7,NRMA,1,2,50 kW,0,1,1,"152 Church St, Glen Innes NSW 2370, Australia",0.38,0.12,"Car park, 51 Evans St (Victoria Park), Inverell NSW 2360",67.2,15.54,54,5/5/2022
Country Comfort Motto Farm Motel - Newcastle Airport,"2285 Pacific Hwy, Heatherbrae NSW 2324, Australia",-32.78781734,151.727705,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"7 Poynton Pl, Thornton NSW 2322, Australia",13.65,2.54,"269 Pacific Hwy, Heatherbrae NSW 2324, Australia",1.82,0.28,55,5/5/2022
Central Coast Supercharger,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia",-33.310237,151.420585,,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"Mingara Dr opp Hansens Rd, Tumbi Umbi NSW 2261, Australia",7.82,1.43,"21cc Pacific Mwy, Alison NSW 2259, Australia",9.18,1.82,56,5/5/2022
Lovell St Car Park,"88 Lovell St, Young NSW 2594, Australia",-34.311716,148.295039,Open 24/7,NRMA,1,2,50 kW,0,1,1,"2 Lachlan Valley Way, Cowra, Australia, NSW 2794",69.75,16.94,"77 Darling St, Cowra NSW 2794, Australia",71.25,17.12,57,5/5/2022
Orange Civic Centre Car Park,"Orange Civic Centre Car Park, 151A Byng St, Orange NSW 2800, Australia",-33.281443,149.102781,Open 24/7,NRMA,1,2,50 kW,0,1,1,"246 Anson St, Orange NSW 2800, Australia",0.6,0.16,"1 Kendall Ave, Bathurst NSW 2795, Australia",56.25,12.62,58,5/5/2022
NRMA Walcha (Coming Soon),"Apsley St, Walcha NSW 2354, Australia",-30.98295276,151.5927317,Open 24/7,NRMA,2,4,,0,2,2,"66 Glen Innes Rd, Armidale NSW 2350, Australia",66.3,16.91,"82 Marsh St, Armidale NSW 2350, Australia",65.55,15.44,59,10/3/2023
Armidale Visitors Centre,"82 Marsh St, Armidale NSW 2350, Australia",-30.511924,151.669672,Open 24/7,NRMA,1,2,50 kW,0,1,1,"31 Marsh St, Armidale NSW 2350, Australia",1.4,0.29,"Apsley St, Walcha NSW 2354, Australia",64.35,15.29,60,5/5/2022
Bathurst Visitor Information Centre (2),"1 Kendall Ave, Bathurst NSW 2795, Australia",-33.419102,149.586752,Open 24/7,NRMA,1,2,75 kW,0,1,1,"121 Howick St
Bathurst NSW 2795, Australia",0.52,0.14,"Orange Civic Centre Car Park, 151A Byng St, Orange NSW 2800, Australia",56.38,14.36,61,5/5/2022
Ampol Foodary Macksville,"24 Cooper St, Macksville NSW 2447, Australia",-30.7102492,152.9197659,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,"24 Princess St, Macksville NSW 2447, Australia",0.45,0.12,"380 Pacific Hwy, North Boambee Valley NSW 2450, Australia",52.12,14.49,62,10/3/2023
Coffs Harbour,"380 Pacific Hwy, North Boambee Valley NSW 2450, Australia",-30.317736,153.089815,Open 24/7,Chargefox,4,8,100 - 350 kW,0,4,4,"35 â€“ 61 Harbour Drive, Coffs Harbour, 2450, AUS",4.68,0.81,"253 Pacific Highway, Coffs Harbour, NSW Australia, 2450",7,1.27,63,5/5/2022
Hunter Valley Gardens Car Park,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",-32.773429,151.298271,Open 24/7,NRMA,2,4,50 kW,0,2,2,"401-427 McDonalds Road, Pokolbin, , Australia, NSW 2320",1.2,0.25,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",45.2,11.62,64,5/5/2022
NRMA Dorrigo (Coming Soon),"Coronation Park, 81 Hickory St, Dorrigo NSW 2453, Australia",-30.33827471,152.7128259,Open 24/7,NRMA,2,4,,0,2,2,"1381 Waterfall Way, Bellingen NSW 2454, Australia",27.45,3.87,"380 Pacific Hwy, North Boambee Valley NSW 2450, Australia",60.12,11.41,65,10/3/2023
Hollydene Estate Wines,"3483 Golden Hwy, Jerrys Plains NSW 2330, Australia",-32.447359,150.83232,Open 24/7,Supercharger,6,6 (CCS/SAE compatible),120 kW,6,0,0,"8 Dorsman Dr, Singleton Heights NSW 2330, Aus, Singleton Heights 2330",50,10.72,"116 Liverpool St, Scone NSW 2337, Australia",52.62,12.05,66,5/5/2022
Walton Lane Car Park,"5 Walton Lane, Picton NSW 2571, Australia",-34.168301,150.611002,Open 24/7,NRMA,1,2,50 kW,0,1,1,"40 - 46 Oxley St, Camden NSW 2570, Australia, Camden 2570",20.3,4.13,"William Downes Avenue, Campbelltown NSW 2560 AU",33.9,8.65,67,5/5/2022
Mittagong RSL Car Park,"9 Bessemer St, Mittagong NSW 2575, Australia",-34.450088,150.442458,Open 24/7,NRMA,1,2,75 kW,0,1,1,"70 Main St, Mittagong NSW 2575, Australia",1.2,0.29,"13125 Hume Hwy, Sutton Forest NSW 2577, Australia",30.52,8.21,68,5/5/2022
Grafton Public Library,"126-144 Pound St, Grafton NSW 2460, Australia",-29.68811,152.933421,Open 24/7,NRMA,1,2,50 kW,0,1,1,"27 Fitzroy St, Grafton, , Australia, NSW 2460 (behind the KFC)",1.1,0.19,"2848 Big River Way, Tyndale NSW 2460, Australia",30.68,7.22,69,5/5/2022
Shell Tyndale,"2848 Big River Way, Tyndale NSW 2460, Australia",-29.561181,153.149407,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,"1a McLachlan St, Maclean, NSW, Australia, 2463",15.3,3.33,"56 Morpeth St, Harwood NSW 2465, Australia",20.1,5.19,70,5/5/2022
Lawson Car Park,"4-6 New St, Lawson NSW 2783, Australia",-33.720695,150.429727,Open 24/7,Evie Networks,2,4,50.065 kW,0,2,2,"6 The Avenue, Wentworth Falls, NSW, Australia, NSW 2782",8.45,2.44,25-34 Hope St Blaxland NSW 2774,25.2,3.17,71,10/3/2023
Little Walker St Parking,"1 Little Walker St, Casino NSW 2470, Australia",-28.865732,153.048478,Open 24/7,NRMA,2,4,75 kW,0,2,2,"162 Canterbury St, Casino NSW 2470, Australia",0.45,0.1,"43 Keen St, Lismore NSW 2480, Australia",31.35,7.12,72,23/8/2022
Clyde Campbell Car Park,"43 Keen St, Lismore NSW 2480, Australia",-28.806889,153.279497,,Chargefox,1,2,75 kW,0,1,1,"241 Keen St, Lismore NSW 2480, Australia",0.85,0.13,"1 Little Walker St, Casino NSW 2470, Australia",31.2,7.08,73,5/5/2022
BP Karuah,"403 Tarean Rd, Karuah NSW 2324, Australia",-32.653981,151.962553,Open 24/7,Chargefox,2,4,50 - 350 kW,0,3,1,"6 Muir St, Medowie NSW 2318, Australia",21.7,5.25,"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",25.12,6.56,74,5/5/2022
Ballina Central Shopping Centre,"56 Bangalow Rd, Ballina NSW 2478, Australia",-28.857652,153.561679,Open 24/7,Chargefox,3,4,50 - 350 kW,0,3,1,"95 Cherry Street, Ballina, NSW, 2478",1.23,0.16,"41 Bruxner Hwy, West Ballina NSW 2478, Australia",6.18,1.06,75,5/5/2022
Kirrawee Supercharger,"580 Princes Highway, Kirrawee, NSW, Australia, 2232",-34.033791,151.073837,6am to Midnight,Supercharger,6,6,250 kW,0,6,0,"600 Kingsway, Mirandaâ€Ž NSWâ€Ž 2228, Australia",3.98,0.52,"128 Parraweena Rd, Miranda NSW 2228",4.95,0.53,76,5/5/2022
Taree South Service Centre,"201 Manning River Dr, Glenthorne NSW 2430, Australia",-31.94335335,152.4706623,Open 24/7,Evie Networks,2,4,350 kW,0,2,2,2 Biripi Way Taree 2430,1.52,0.15,"35 Nabiac Street, Nabiac NSW 2312, Australia",24.7,6.43,77,5/5/2022
Lithgow Workies Club,"3-7 Tank St, Lithgow NSW 2790, Australia",-33.478006,150.161124,Open 24/7,NRMA,2,4,50 kW,0,2,2,"43 Baaners Lane, Little Hartley NSW 2790, Australia",18.45,4.26,"Unnamed Road, Blackmans Flat NSW 2790, Australia",23.85,5.39,78,5/5/2022
Mount Piper Power Station - Energy Expo,"Unnamed Road, Blackmans Flat NSW 2790, Australia",-33.360471,150.027001,9am-4pm Monday to Friday,,1,2,50 kW,0,1,1,"43 Baaners Lane, Little Hartley NSW 2790, Australia",36.75,8.34,"3-7 Tank St, Lithgow NSW 2790, Australia",23.8,5.27,79,10/3/2023
Ampol Foodary Raymond Terrace North (Coming Soon),"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",-32.755303,151.762953,Open 24/7,AmpCharge,1,2,150kW,0,1,1,"6 Muir St, Medowie NSW 2318, Australia",14.5,2.88,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",1.95,0.31,80,10/3/2023
Western Sydney University - Hawkesbury Campus,"Vines Dr, Richmond NSW 2753 AU",-33.614302,150.746806,Open 24/7,,1,2,,0,2,0,"61 Hawkesbury Valley Way, Windsor NSW 2756, Australia",7.4,1.3,"2213 Castlereagh Rd, Penrith NSW 2750, Australia",17.45,3.39,81,5/5/2022
Nabiac Park,"35 Nabiac Street, Nabiac NSW 2312, Australia",-32.099071,152.381574,Open 24/7,NRMA,1,2,50 kW,0,1,1,2 Biripi Way Taree 2430,24.5,6.04,"201 Manning River Dr, Glenthorne NSW 2430, Australia",24,5.92,82,5/5/2022
Macquarie center,"55-61 Talavera Road, Macquarie Park, North Ryde, NSW, Australia, 2113",-33.777244,151.122633,,Supercharger,10,10 (CCS/SAE compatible),120 - 150 kW,10,0,0,"63-71 Talavera Rd, Macquarie Park, New South Wales 2113, Australia",0.12,0.09,"270 Talavera Rd, Macquarie Park NSW 2113, Australia",0.12,0.09,83,5/5/2022
Broadway Shopping Centre,"1 Bay St, Glebe NSW 2037, Australia",-33.882995,151.194332,Open 24/7,Supercharger,8,8 (CCS/SAE compatible),120 kW,8,0,0,"31 Bay St, Ultimo NSW 2007, Australia",0.04,0.02,"2 Central Ave, Eveleigh NSW 2015, Australia",2.98,0.56,84,5/5/2022
Ampol Northbound M1 (Coming Soon),"21cc Pacific Mwy, Alison NSW 2259, Australia",-33.2562,151.402701,Open 24/7,AmpCharge,5,10,335kW,0,9,1,"Mingara Dr opp Hansens Rd, Tumbi Umbi NSW 2261, Australia",21.75,4.9,"Bryant Drive & Wyong Road, Tuggerah NSW 2259, Australia",15.95,3.38,85,10/3/2023
