Station name,Station address,Latitude,Longitude,Opening hours,Operator,Number of station,Number of plugs,Rating,Tesla,Type 2,J-1772,Tesla (Fast),CCS/SAE,CHAdeMO,Address of nearest destination charger ,Distance to the nearest destination charger (km),Energy required to nearest destination charger (kWh),Address of nearest fast charger,Distance to the nearest fast charger (km),Energy required to nearest fast charger (kWh),date
Westfield Warringah Mall - Tesla,"145 Old Pittwater Rd, Brookvale NSW 2100, Australia",-33.7658596,151.2648571,,Tesla Destination,4,4,22 kW,4,0,0,0,0,0,"485 Pittwater Rd, Brookvale NSW 2100, Australia",1.25,0.21,"87 Winbourne Rd, Brookvale NSW 2100, Australia",1.58,0.29,10/3/2023
Church St Car Park Top Ryde,"21 Church St, Ryde NSW 2112, Australia",-33.8136656,151.1056957,Open 24/7,Exploren,1,1,22 kW,0,1,0,0,0,0,"Devlin St & Blaxland Rd, Ryde NSW 2112, Australia",0.25,0.04,"394 Lane Cove Rd, Macquarie Park NSW 2113, Australia",4.12,0.8,10/3/2023
Top Ryde City Shopping Centre,"Devlin St & Blaxland Rd, Ryde NSW 2112, Australia",-33.8102087,151.1060216,,Chargefox,2,2,kW,0,2,0,0,0,0,"21 Church St, Ryde NSW 2112, Australia",0.25,0.16,"394 Lane Cove Rd, Macquarie Park NSW 2113, Australia",4.1,0.86,10/3/2023
Plunkett Street Parking,"32 Chandos St, St Leonards NSW 2065, Australia",-33.821792,151.1963172,Open 24/7,Chargefox,1,2,7 kW,0,2,0,0,0,0,"88 Christie St, St Leonards NSW 2065, Australia",0.32,0.1,"445 Willoughby Rd, Willoughby NSW 2068, Australia",1.88,0.22,10/3/2023
Coles Carpark. ( Red P1),"61 Atchison St, Crows Nest NSW 2065, Australia",-33.8231538,151.20107,6am - Midnight / 7 days,Chargefox,1,1,kW,0,1,0,0,0,0,"44 Hume St, Crows Nest NSW 2065, Ãšc",0.62,0.15,"445 Willoughby Rd, Willoughby NSW 2068, Australia",1.52,0.17,10/3/2023
Woolworths Car Park Crows Nest,"10 Falcon St, Crows Nest NSW 2065, Australia",-33.8272798,151.2017211,"Open 24/7
FREE 2 hours parking (one period per day only), then third hour is $8.20,
thereafter $6.20 per half hour.",,2,2,kW,0,2,0,0,0,0,"29 Holtermann St, Crows Nest NSW 2065, Ãšc",0.3,0.05,"445 Willoughby Rd, Willoughby NSW 2068, Australia",2.08,0.18,10/3/2023
Holtermann St Carpark,"29 Holtermann St, Crows Nest NSW 2065, Úc",-33.8251258,151.2021849,"Open 24/7
FREE 2 hours parking (one period per day only), then third hour is $8.20,
thereafter $6.20 per half hour.",,2,2,kW,0,2,0,0,0,0,,,,,,,10/3/2023
Hume St Carpark,"44 Hume St, Crows Nest NSW 2065, Úc",-33.8244404,151.1998787,"Open 24/7
FREE 2 hours parking (one period per day only), then third hour is $8.20,
thereafter $6.20 per half hour.",,2,2,kW,0,2,0,0,0,0,,,,,,,10/3/2023
Bella Vista Hotel,"13-15 Lexington Drive, Bella Vista NSW 2153, Australia",-33.736545,150.948546,Open 24/7,,1,1,22 kW,0,1,0,0,0,0,"3 Columbia Ct, Norwest NSW 2153, Australia",2.85,0.55,"18 Victoria Avenue, Castle Hill NSW 2154, Australia",4,0.83,10/3/2023
Park Hyatt Sydney,"7 Hickson Road, The Rocks, New South Wales, Australia, NSW 2000",-33.8557235,151.2097888,,"Tesla Destination, Chargefox",2,3,6 - 22 kW,2,1,0,0,0,0,"5030 Argyle Street, The Rocks NSW 2000, Australia",1.12,0.27,"1 Bay St, Glebe NSW 2037, Australia",5.38,0.98,10/3/2023
Giffnock Avenue,"22 Giffnock Ave, Macquarie Park NSW 2113, Aus, Macquarie Park 2113",-33.7831032,151.1223883,Open 24/7,Exploren,1,1,22 kW,0,1,0,0,0,0,"63-71 Talavera Rd, Macquarie Park, New South Wales 2113, Australia",1.62,0.28,"394 Lane Cove Rd, Macquarie Park NSW 2113, Australia",1.65,0.28,10/3/2023
Westfield Parramatta Campbell St Carpark,"59-175 Church St, Parramatta NSW 2150",-33.8221879,151.0038102,2 hours free parking,ChargePoint,2,2,kW,0,0,2,0,0,0,Church St & Raymond Street Granville NSW 2142 Australia,0.85,0.15,"Darcy St &, Macquarie St, Parramatta NSW 2150, Australia",1.27,0.18,10/3/2023
Campbell Street Parking/Charging,"55 Campbell Street, Blacktown NSW 2148, Australia",-33.7732397,150.9087369,Open 24/7,,1,1,kW,0,1,0,0,0,0,"Flushcombe Rd & Alpha St, Blacktown NSW 2148,, Blacktown 2148",0.55,0.16,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",10.1,1.86,10/3/2023
Willoughby Council Car Park,"83 Albert Ave Chatswood NSW 2067, Australia",-33.7985763,151.1799001,6am - 12am daily,,2,2,kW,0,2,0,0,0,0,"52 Albert Ave, Chatswood NSW 2067, Australia",0.48,0.08,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.08,0.34,10/3/2023
North Shore BMW,"676 Pacific Hwy, Chatswood NSW 2067, Australia. access off Centennial Ave",-33.7991126,151.1785103,,ChargePoint,1,2,kW,0,0,2,0,0,0,"83 Albert Ave Chatswood NSW 2067, Australia",0.48,0.08,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.2,0.37,23/8/2022
Rowe St (East) Car Park,"53-71 Rowe St, Eastwood NSW 2122, Australia, Eastwood 2122",-33.7905768,151.0844238,Open 24/7,Exploren,1,2,22 kW,0,2,0,0,0,0,"Macquarie University, Link Road, Macquarie Park NSW 2109, Australia",3.32,0.6,"394 Lane Cove Rd, Macquarie Park NSW 2113, Australia",5.3,1,10/3/2023
Lane Cove Market Square Car Park,"28 Burns Bay Road, Lane Cove NSW 2066, Australia",-33.8151643,151.1691303,8am - 1am,,5,5,kW,0,5,0,0,0,0,"2-24 Birdwood Lane, Lane Cove NSW 2066, Australia",0.9,0.2,"405 Pacific Hwy, Artarmon NSW 2064, Australia",1.23,0.37,10/3/2023
NHP Electrical Engineering Products Pty Ltd,"30-34 Day St N, Silverwater NSW 2128, Australia",-33.8381725,151.0526388,8am-5pm,,1,1,kW,0,1,0,0,0,0,P1 Parking Station,2.62,0.42,"19/287 Victoria Rd, Rydalmere NSW 2116, Austr, Rydalmere 2116",4.55,0.84,23/8/2022
88 Christie St Building (Coming Soon),"88 Christie St, St Leonards NSW 2065, Australia",-33.8237661,151.1952642,Open 24/7,Exploren,14,14,22 kW,0,14,0,0,0,0,"44 Hume St, Crows Nest NSW 2065, Ãšc",0.7,0.17,"445 Willoughby Rd, Willoughby NSW 2068, Australia",2.33,0.29,10/3/2023
Anderson St Parking,"370 Anderson St, Chatswood NSW 2067, Australia",-33.7964104,151.1836091,Open 24/7,Chargefox,1,2,22 kW,0,2,0,0,0,0,"1 Anderson Street, Chatswood NSW 2067, Australia",0.1,0.05,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.48,0.46,10/3/2023
Westfield Chatswood Underground Car Park,"1 Anderson Street, Chatswood NSW 2067, Australia",-33.7967682,151.1828639,Open 24/7,ChargePoint,2,4,6.6 kW,0,0,4,0,0,0,"52 Albert Ave, Chatswood NSW 2067, Australia",0.18,0.09,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.38,0.45,23/8/2022
Westfield Chatswood Rooftop Parking,"52 Albert Ave, Chatswood NSW 2067, Australia",-33.7980745,151.1844265,Open 24/7,Chargefox,2,4,7 kW,0,4,0,0,0,0,"676 Pacific Hwy, Chatswood NSW 2067, Australia. access off Centennial Ave",0.48,0.18,"405 Pacific Hwy, Artarmon NSW 2064, Australia",2.28,0.41,10/3/2023
The Hills Shire Council,"3 Columbia Ct, Norwest NSW 2153, Australia",-33.7305284,150.9717373,"Council Business Hours Only - Carpark Closes 7.45pm Monday -Friday and 5.45pm
on Weekends",Exploren,3,6,22 kW,0,6,0,0,0,0,"13-15 Lexington Drive, Bella Vista NSW 2153, Australia",2.9,0.49,"18 Victoria Avenue, Castle Hill NSW 2154, Australia",1.68,0.35,10/3/2023
The Canopy Lane Cove (Tesla),"2-24 Birdwood Lane, Lane Cove NSW 2066, Australia",-33.813922,151.169515,"The Canopy car park is open from 6:00am - 1:00am, 7 days a week.",Tesla Destination,3,3,2 kW,3,0,0,0,0,0,"12 Rosenthal Ave, Lane Cove NSW 2066, Austral, Lane Cove 2066",0.2,0.15,"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",0.2,0.14,10/3/2023
Sydney Hybrid & Electric Cars,"19-26 Durian Pl, Wetherill Park NSW 2164, Australia",-33.8449476,150.8860696,8am - 6pm,,2,2,kW,2,0,0,0,0,0,"561-583 Polding St, Wetherill Park NSW 2164, Australia",2.92,0.38,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",7.7,1.5,10/3/2023
Stockland Balgowlah (1),"Stockland Balgowlah, 197-215 Condamine St, Balgowlah NSW 2093, Australia",-33.7933333,151.2644444,,ChargePoint,2,3,6.6 kW,0,0,3,0,0,0,"197-215 Condamine St, Balgowlah NSW 2093, Australia",0.5,0.16,"485 Sydney Rd, Balgowlah NSW 2093, Australia",1,0.28,10/3/2023
Stockland Balgowlah (2),"197-215 Condamine St, Balgowlah NSW 2093, Australia",-33.7936631,151.2648665,,Tesla Destination,4,4,22 kW,4,0,0,0,0,0,"Stockland Balgowlah, 197-215 Condamine St, Balgowlah NSW 2093, Australia",0.5,0.11,"485 Sydney Rd, Balgowlah NSW 2093, Australia",0.82,0.23,10/3/2023
Supercheap Auto,"2227 Wolseley Street, Jamisontown‎ NSW‎ 2750, Australia",-33.7698966,150.6729235,Open 24/7,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,,,,,,,23/8/2022
Penrith Homemaker Centre,Crn Mulgoa Rd & Wolseley St Penrith Homemaker Centre Jamisontown NSW 2750,-33.7698817,150.6708825,Open 24/7,Exploren,2,4,22 kW,0,4,0,0,0,0,"2227 Wolseley Street, Jamisontownâ€Ž NSWâ€Ž 2750, Australia",0.05,0.03,"221 Wolseley St, Jamisontown NSW 2750, Australia",0.35,0.1,10/3/2023
Schofields Village Shopping Centre,"227 Railway Terrace, Schofields NSW 2762, Australia",-33.7059656,150.8748119,Underground car park opening hours,Chargefox,2,4,22 kW,0,4,0,0,0,0,"125 Jerralong Dr, Schofields NSW 2762, Austra, Schofields 2762",1.08,0.17,"18 Victoria Avenue, Castle Hill NSW 2154, Australia",11.62,2.58,10/3/2023
Blacktown Westpoint Shopping Centre (2),"17 Patrick St, Blacktown NSW 2148, Australia",-33.7703687,150.9056466,,Tesla Destination,4,4,22 kW,4,0,0,0,0,0,"Flushcombe Rd & Alpha St, Blacktown NSW 2148,, Blacktown 2148",1.58,0.35,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",9.62,1.94,10/3/2023
Col Crawford BMW,"485 Pittwater Rd, Brookvale NSW 2100, Australia",-33.7645609,151.2705731,8:30am - 5:00pm Sunday closed Gate/access closes at 5:30pm sharp,,1,2,kW,0,2,0,0,0,0,"Cnr Condamine St & Old Pittwater Road, Brookvale NSW 2100, Australia",1.08,0.18,"87 Winbourne Rd, Brookvale NSW 2100, Australia",0.8,0.16,10/3/2023
Max Webber Library,"Flushcombe Rd & Alpha St, Blacktown NSW 2148,, Blacktown 2148",-33.7718108,150.9082711,"Monday - Friday: 9:15am - 7:45pm Saturday: 9:30am - 4:00pm Sunday: Midday -
4:00pm",Exploren,2,2,7 kW,0,2,0,0,0,0,"17 Patrick St, Blacktown NSW 2148, Australia",1.62,0.2,"1 Wallgrove Rd, Eastern Creek NSW 2766, Australia",10.07,1.95,10/3/2023
NRMA Ocean Beach Holiday Resort (1),"90 Sydney Ave Umina Beach NSW 2257, Australia",-33.5299005,151.3109621,Open 24/7,,5,5,kW,0,5,0,0,0,0,"36 Maitland Bay Drive, Killcare Heights, NSW 2257",11.45,2.88,"481 Pacific Hwy, Wyoming NSW 2250, Australia",19.9,3.74,10/3/2023
Club Parramatta,"2 Macquarie St, Parramatta NSW 2150",-33.8143393,150.9988364,Open 24/7,,4,8,kW,0,8,0,0,0,0,"59-175 Church St, Parramatta NSW 2150",1,0.23,"Darcy St &, Macquarie St, Parramatta NSW 2150, Australia",2.35,0.45,10/3/2023
Little St Carpark (2),"2 Little St, Lane Cove North NSW 2066, Austra, Lane Cove North 2066",-33.8135344,151.1715451,,Exploren,2,2,22 kW,0,2,0,0,0,0,"2 Little St, Lane Cove NSW 2066, Australia",0.01,0.01,"405 Pacific Hwy, Artarmon NSW 2064, Australia",1.23,0.34,10/3/2023
Little St Car Park (1),"2 Little St, Lane Cove NSW 2066, Australia",-33.8135344,151.1715451,6am - 1am,EO,2,2,7 kW,0,2,0,0,0,0,"2 Little St, Lane Cove North NSW 2066, Austra, Lane Cove North 2066",0.01,0.01,"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",0.32,0.16,10/3/2023
PCYC Car Park (2),"40 Kingsway, Dee Why NSW 2099, Australia",-33.7503396,151.2862494,Mon - Sat 5:30AM - 12:30AM Sun & public holidays 6:30AM - 12:30AM,,3,3,kW,0,3,0,0,0,0,"4-16 Oaks Ave, Dee Why NSW 2099, Australia",0.8,0.11,"87 Winbourne Rd, Brookvale NSW 2100, Australia",2.25,0.34,10/3/2023
PCYC Car Park (3),"36 Kingsway, Dee Why NSW 2099, Australia",-33.7503243,151.286556,Mon - Sat 5:30AM - 12:30AM Sun & public holidays 6:30AM - 12:30AM,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"4-16 Oaks Ave, Dee Why NSW 2099, Australia",0.8,0.11,"87 Winbourne Rd, Brookvale NSW 2100, Australia",2.25,0.34,10/3/2023
The Canopy Lane Cove (3),"12 Rosenthal Ave, Lane Cove NSW 2066, Austral, Lane Cove 2066",-33.8140235,151.1692661,Open 24/7,Exploren,3,3,22 kW,0,3,0,0,0,0,"2-24 Birdwood Lane, Lane Cove NSW 2066, Australia",1.3,0.2,"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",0.01,0.01,10/3/2023
Baulkham Hills Sports Club,"28 Willow Dr, Baulkham Hills NSW 2153, Australia",-33.7628123,151.0037893,Open 24/7,Tesla Destination,1,2,2 kW,1,0,1,0,0,0,"375 Windsor Rd, Baulkham Hills NSW 2153, Australia",3.18,0.67,"98-100 Windsor Rd, Northmead NSW 2152, Australia",4,0.62,23/8/2022
Baulkham Hills Sports Club ,"11 Renown Road, Baulkham Hills NSW 2153, Australia",-33.7632734,151.0042477,"Available during Club opening hours Sunday to Thursday: 9am - Late Friday and
Saturday: 9am - 2am Public Holidays: 10am - late Location is on western side
of building. Access by driving around the rear of the building.",,2,3,kW,1,0,2,0,0,0,"375 Windsor Rd, Baulkham Hills NSW 2153, Australia",3.18,0.67,"98-100 Windsor Rd, Northmead NSW 2152, Australia",4,0.62,23/8/2022
Caves Coastal Bar and Bungalows,"Unit 3/3 Mawson Cl, Caves Beach NSW 2281, Australia",-33.1046388,151.6478285,,,4,4,kW,0,4,0,0,0,0,"228 Pacific Hwy, Swansea NSW 2281, Australia",2.33,0.32,"36 Josephson St, Swansea NSW 2281, Australia",2.68,0.39,1/1/2020
Lake Macquarie Motor Inn,"798 Pacific Highway, Marks Point, Belmont NSW",-33.0586722,151.6517336,,,2,4,kW,0,4,0,0,0,0,"228 Pacific Hwy, Swansea NSW 2281, Australia",5.45,0.98,"36 Josephson St, Swansea NSW 2281, Australia",4.92,0.9,10/3/2023
Esplanade Motel Warners Bay,"568 The Esplanade, Warners Bay NSW 2282, Australia",-32.9839269,151.644263,8:30am - 10pm,,2,2,kW,0,2,0,0,0,0,"126-138 Main Rd, Speers Point NSW 2284, Australia",4.7,0.86,"76 Cowper St, Wallsend NSW 2287, Australia",10.68,2.16,23/8/2022
Ibis Styles Hotel,"315 Central Coast Hwy, Long Jetty NSW 2261",-33.3524924,151.4889255,,Tesla Destination,1,1,22 kW,1,0,0,0,0,0,"509 - 517 The Entrance Road, Long Jetty, NSW, Australia, 2261",2.65,0.33,"9 Bay Village Rd, Bateau Bay NSW 2261, Australia",3.05,0.42,23/8/2022
Kim's Beachside Retreat,"16 Charlton St, Toowoon Bay NSW 2261, Australia",-33.3603266,151.4994395,,Tesla Destination,2,2,4 kW,2,0,0,0,0,0,"315 Central Coast Hwy, Long Jetty NSW 2261",2.15,0.38,"9 Bay Village Rd, Bateau Bay NSW 2261, Australia",3.45,0.51,23/8/2022
Central Jetty Motel,"509 - 517 The Entrance Road, Long Jetty, NSW, Australia, 2261",-33.3677863,151.4753891,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"315 Central Coast Hwy, Long Jetty NSW 2261",2.22,0.43,"9 Bay Village Rd, Bateau Bay NSW 2261, Australia",1,0.2,1/1/2020
Mingara Leisure Group Tumbi Umbi,"Mingara Dr opp Hansens Rd, Tumbi Umbi NSW 2261, Australia",-33.362953,151.443268,"Open 24/7
Club hours Monday 8.30am – 3am Tuesday 8.30am – 3am Wednesday 8.30am – 3am
Thursday 8.30am – 3am Friday 8.30am – 6am Saturday 8.30am – 6am Sunday 8.30am
– 3am Chargers available 24/7",Exploren,3,5,22 kW,0,5,0,0,0,0,"509 - 517 The Entrance Road, Long Jetty, NSW, Australia, 2261",3.55,0.61,"Cnr Mingara Dr & Wyong Rd, Tumbi Umbi NSW 2261",1.75,0.3,10/3/2023
Williamtown Technology precinct (Coming Soon),"1 Technology Pl, Williamtown NSW 2318, Australia",-32.8102565,151.8429833,,,2,2,kW,0,2,0,0,0,0,"1024 Nelson Bay Rd, Fern Bay NSW 2295",9.7,2.08,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",14.65,3.03,10/3/2023
Cameron Park Plaza,"100 George Booth Dr, Cameron Park NSW 2285, Australia",-32.9164148,151.597277,Open 24/7,Chargefox,2,4,kW,0,4,0,0,0,0,"51 Carrington St, West Wallsend NSW 2286, Australia",3.78,0.81,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",3.75,0.94,1/1/2020
Newcastle Links Motel,"1024 Nelson Bay Rd, Fern Bay NSW 2295",-32.8708409,151.7936933,Open 24/7,,1,1,kW,0,1,0,0,0,0,"1 Technology Pl, Williamtown NSW 2318, Australia",9.68,1.97,"34 Griffiths Rd, Lambton NSW 2299, Australia",12.95,2.57,1/1/2020
Stockland Green Hills Shopping Centre,"12 Mitchell Drive, East Maitland NSW 2323, Australia",-32.760976,151.5912831,,"ChargePoint, Tesla Destination",3,4,7 kW,1,1,2,0,0,0,"7 Poynton Pl, Thornton NSW 2322, Australia",6.98,1.22,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",22.65,6.41,1/1/2020
The Executive Inn,"10 Rugby Rd, New Lambton, NSW, Australia, 2304",-32.9211506,151.7148211,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"2 Lookout Rd, New Lambton Heights NSW 2305, A, New Lambton Heights 2305",2.78,0.88,"34 Griffiths Rd, Lambton NSW 2299, Australia",1.78,0.25,1/1/2020
Hunter Wetlands Centre ,"412 Sandgate Rd, Shortland NSW 2307, Australia",-32.8780102,151.6968309,9am–4pm,,1,2,kW,0,1,1,0,0,0,"The University of Newcastle, Ring Road, Callaghan NSW 2308, Australia",3.55,0.79,"76 Cowper St, Wallsend NSW 2287, Australia",4.7,0.85,1/1/2020
Lake Macquarie Council,"126-138 Main Rd, Speers Point NSW 2284, Australia",-32.960069,151.623668,"Open 24/7
24/7",Chargefox,1,1,kW,0,1,0,0,0,0,"568 The Esplanade, Warners Bay NSW 2282, Australia",4.72,0.78,"76 Cowper St, Wallsend NSW 2287, Australia",8.88,1.71,1/1/2020
7 Poynton Pl Building,"7 Poynton Pl, Thornton NSW 2322, Australia",-32.7957206,151.6390784,,,2,2,kW,0,2,0,0,0,0,"12 Mitchell Drive, East Maitland NSW 2323, Australia",6.95,1.52,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",13.8,3.45,10/3/2023
John Hunter Hospital,"2 Lookout Rd, New Lambton Heights NSW 2305, A, New Lambton Heights 2305",-32.9236607,151.6935205,,Exploren,1,2,7 kW,0,2,0,0,0,0,"10 Rugby Rd, New Lambton, NSW, Australia, 2304",2.65,0.14,"34 Griffiths Rd, Lambton NSW 2299, Australia",4.35,0.47,10/3/2023
West Wallsend Workers Club,"51 Carrington St, West Wallsend NSW 2286, Australia",-32.9023363,151.5824271,Open 24/7,,2,2,22kW,0,2,0,0,0,0,"100 George Booth Dr, Cameron Park NSW 2285, Australia",3.72,0.74,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",1.8,0.49,10/3/2023
Stockland Glendale,"387 Lake Rd, Glendale NSW 2285, Australia",-32.9343229,151.6421833,Open 24/7,Tesla Destination,2,3,7 - 22 kW,1,2,0,0,0,0,"126-138 Main Rd, Speers Point NSW 2284, Australia",4.85,0.79,"76 Cowper St, Wallsend NSW 2287, Australia",5.6,1.02,23/8/2022
Stockland Jesmond,"28 Blue Gum Rd, Jesmond NSW 2299, Australia",-32.9027533,151.6902806,Open 24/7,Tesla Destination,1,2,5 - 6 kW,1,0,1,0,0,0,"Nash St, Wallsend NSW 2287, Australia, Wallsend 2287",2.3,0.44,"76 Cowper St, Wallsend NSW 2287, Australia",2.38,0.42,10/3/2023
Murray Consulting Solutions,"6 Muir St, Medowie NSW 2318, Australia",-32.7388153,151.8670452,"06:00 till 18:30 Monday to Friday, 07:30 till 13:30 Saturday",Chargefox,2,2,kW,0,2,0,0,0,0,"1 Technology Pl, Williamtown NSW 2318, Australia",9.35,1.79,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",13.3,2.48,23/8/2022
No 2 Sportsground,"Smith St, Newcastle West NSW 2302, Australia",-32.9334094,151.7585158,Open 24/7,Chargefox,2,4,22 - 50 kW,0,4,0,0,0,0,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",1.95,0.3,"59-61 Tudor St, Hamilton NSW 2303, Australia",1.82,0.29,1/1/2020
The Gateway Inn Newcastle,"26 William St, Mayfield NSW 2304, Australia",-32.8924392,151.7432154,,Tesla Destination,3,3,22 kW,3,0,0,0,0,0,"The University of Newcastle, Ring Road, Callaghan NSW 2308, Australia",6.28,1.48,"34 Griffiths Rd, Lambton NSW 2299, Australia",5.6,1.14,23/8/2022
Wallsend District Hospital,"Nash St, Wallsend NSW 2287, Australia, Wallsend 2287",-32.8980439,151.6787953,,Exploren,1,2,7 kW,0,2,0,0,0,0,"80 Cowper Street, Wallsend NSW 2287",1.9,0.29,"76 Cowper St, Wallsend NSW 2287, Australia",1.45,0.22,10/3/2023
Novotel Newcastle Beach,"5 King St, Newcastle, NSW, Australia, 2300.",-32.9292642,151.784893,Open 24/7,"Tesla Destination, Exploren",1,2,7 - 22 kW,1,1,0,0,0,0,"8/10 Perkins St, Newcastle NSW 2300, Australia",0.65,0.13,"Smith St, Newcastle West NSW 2302, Australia",2.75,0.41,10/3/2023
UoN P6 Carpark,"The University of Newcastle, Ring Road, Callaghan NSW 2308, Australia",-32.8927718,151.7041775,Open 24/7,Chargefox,2,4,kW,0,4,0,0,0,0,"28 Blue Gum Rd, Jesmond NSW 2299, Australia",2.38,0.28,"34 Griffiths Rd, Lambton NSW 2299, Australia",3.28,0.5,10/3/2023
Club Charlestown,"5 Lincoln St, Charlestown NSW 2290, Australia",-32.9670483,151.6925911,10am to 10pm,Exploren,4,4,7 kW,0,4,0,0,0,0,"568 The Esplanade, Warners Bay NSW 2282, Australia",6.02,0.75,"59-61 Tudor St, Hamilton NSW 2303, Australia",8.57,1.26,10/3/2023
Old Maitland Inn,"279 New England Hwy, Rutherford NSW 2320",-32.7172344,151.5254651,Open 24/7,,2,2,7.4 kW,0,2,0,0,0,0,"258-264 New England Hwy, Rutherford NSW 2320",0.85,0.15,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",30.3,7.12,10/3/2023
Wallsend Village,"80 Cowper Street, Wallsend NSW 2287",-32.902986,151.6674429,Open 24/7,Tesla Destination,2,2,22 kW,0,2,0,0,0,0,"Nash St, Wallsend NSW 2287, Australia, Wallsend 2287",1.82,0.38,"76 Cowper St, Wallsend NSW 2287, Australia",0.52,0.12,10/3/2023
Laman St Parking/Charging,"25 Laman St, Cooks Hill NSW 2300, Australia",-32.9294063,151.7720524,Open 24/7,Chargefox,2,2,kW,0,2,0,0,0,0,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",0.98,0.11,"Smith St, Newcastle West NSW 2302, Australia",1.4,0.17,10/3/2023
Rydges Newcastle,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",-32.9252745,151.7735963,,"Tesla Destination, Exploren",1,2,4 - 7 kW,1,1,0,0,0,0,"209 Wharf Road, Newcastle NSW 2300, Australia",0.6,0.11,"Smith St, Newcastle West NSW 2302, Australia",1.85,0.28,10/3/2023
Maitland City Motel,"258-264 New England Hwy, Rutherford NSW 2320",-32.7186334,151.5274878,Open 24/7,,1,1,kW,0,1,0,0,0,0,"14 Arthur Street, Rutherford, 2320, AUS",0.62,0.13,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",29.25,7.03,10/3/2023
Victoria Theatre,"8/10 Perkins St, Newcastle NSW 2300, Australia",-32.9269119,151.778483,,,4,4,kW,0,4,0,0,0,0,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",1.08,0.13,"Smith St, Newcastle West NSW 2302, Australia",2.28,0.32,10/3/2023
Wharf Rd Car Park,"209 Wharf Road, Newcastle NSW 2300, Australia",-32.9258168,151.7791751,Open 24/7,Chargefox,2,4,kW,0,4,0,0,0,0,"Wharf Rd & Merewether St, Newcastle NSW 2300, Australia",0.92,0.15,"Smith St, Newcastle West NSW 2302, Australia",2.38,0.35,10/3/2023
Club Maitland City (1),"14 Arthur St, Rutherford NSW 2320",-32.71822,151.5284763,Open 24/7,ChargeN'Go,2,2,7.4 kW,0,2,0,0,0,0,"14 Arthur Street, Rutherford, 2320, AUS",0.32,0.09,"119 Stenhouse Dr, Cameron Park NSW 2285, Australia",29.7,6.81,10/3/2023
Cabins in the Clouds,"424 Moonabung Rd, Vacy NSW 2421, Australia",-32.5423289,151.5011005,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"22 Empire St, Branxton NSW 2335, Australia",54.62,11.77,"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",47.4,7.33,1/1/2020
Alex,"RP42+P6 Upper Karuah River NSW, Australia",-32.1931875,151.7005625,,,1,1,kW,1,0,0,0,0,0,"424 Moonabung Rd, Vacy NSW 2421, Australia",66.3,11.56,"40 Richardson Rd, Raymond Terrace NSW 2324, Australia",85.4,16.48,10/3/2023
Dylko Electrical,"9 Stephen St, Wauchope NSW 2446, Australia",-31.4535989,152.723364,"Open 24/7
7:00am-5:00pm",,1,1,kW,1,0,0,0,0,0,"179 Gordon St, Port Macquarie, Australia, NSW 2444",19.4,4.34,"1063 Oxley Hwy, Thrumster NSW 2444, Australia",11.52,2.4,1/1/2020
Soldiers Point Marina,"2 Sunset Blvd, Soldiers Point NSW 2317, Australia",-32.7015832,152.0632692,,Tesla Destination,2,2,22 kW,2,0,0,0,0,0,"3 Government Rd, Nelson Bay NSW 2315, Australia",10.3,2.1,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",40,8.18,1/1/2020
Seaside Resort Fingal Bay,"48 Marine Drive, Fingal Bay NSW 2315",-32.7428063,152.1697532,,EVUp,1,1,22kW,0,1,0,0,0,0,"3 Government Rd, Nelson Bay NSW 2315, Australia",5.68,1.08,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",46.4,9.67,10/3/2023
