Charging locations,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation install capacity in 2021 (MVA),Zone substation available capacity in 2021 (MVA),Zone,Longitude,Latitude,Time
"LUGARNO, NSW",2,2,4,10,64.25,18.3,1 km,151.052257,-33.957725,1/1/2023
"CHIFLEY, NSW",4,4,4,13,72.67,39.47,1 km,151.237844,-33.969624,1/1/2023
"CAMERON PARK, NSW",2,2,4,14,38.11,14.08,1 km,151.651095,-32.933305,1/1/2023
"HURSTVILLE, NSW",2,2,4,4,114.32,30.43,1 km,151.101764,-33.966692,1/1/2023
"AUBURN, NSW",2,2,4,10,33.41,10.31,1 km,151.026756,-33.851868,1/1/2023
"BANKSIA, NSW",2,2,4,13,53.54,17.62,1 km,151.148204,-33.955393,1/1/2023
"BEVERLEY PARK, NSW",2,2,4,11,114.32,30.43,1 km,151.140345,-33.974354,1/1/2023
"ABBOTSFORD, NSW",2,2,4,8,56.15,-2.93,1 km,151.133865,-33.866044,1/1/2023
"CANTON BEACH, NSW",2,2,2,6,34.37,13.03,1 km,151.556223,-33.285097,1/1/2023
"PUNCHBOWL, NSW",2,2,4,12,40.35,-0.05,1 km,151.057799,-33.930089,1/1/2023
"EASTWOOD, NSW",2,2,4,8,103.84,34.29,1 km,151.092072,-33.791357,1/1/2023
"BREAKFAST POINT, NSW",2,2,4,8,54.41,3.26,1 km,151.103751,-33.85749,1/1/2023
"BELMONT, NSW",2,2,4,11,25.64,13.17,1 km,151.663175,-33.019715,1/1/2023
"BLENHEIM ROAD, NSW",2,2,4,10,70,30.69,1 km,151.130233,-33.79419,1/1/2023
"HMAS WATERHEN, NSW",2,2,4,6,136.82,59.95,1 km,151.204557,-33.839863,1/1/2023
"ERINA HEIGHTS, NSW",2,2,2,4,34.4,20.66,1 km,151.436939,-33.42537,1/1/2023
"ASHTONFIELD, NSW",2,2,4,12,38.11,-2.57,1 km,151.607554,-32.757616,1/1/2023
"CAMPSIE, NSW",2,2,2,4,87.01,15.39,1 km,151.101777,-33.917601,1/1/2023
"BERALA, NSW",4,4,4,11,54.87,11.91,1 km,151.044768,-33.872483,1/1/2023
"ARCADIA VALE, NSW",2,2,2,6,38.11,24.83,1 km,151.57181,-33.019117,1/1/2023
"LEICHHARDT, NSW",2,2,2,4,62.51,11.92,1 km,151.156819,-33.878774,1/1/2023
"ENGADINE, NSW",2,2,4,11,44.56,1.2,1 km,151.027919,-34.114626,1/1/2023
"ASHFIELD, NSW",2,2,2,5,59.84,23.57,1 km,151.124008,-33.887602,1/1/2023
"BARDWELL PARK, NSW",2,2,4,13,53.54,17.62,1 km,151.119517,-33.948744,1/1/2023
"ENMORE, NSW",2,2,2,4,88.63,11.1,1 km,151.175354,-33.900649,1/1/2023
"DENISTONE, NSW",2,2,4,18,103.84,34.29,1 km,151.084181,-33.810991,1/1/2023
"COOGEE, NSW",2,2,2,4,65.01,-8.05,1 km,151.252171,-33.929096,1/1/2023
"ALFORDS POINT, NSW",2,2,2,6,60.72,14.27,1 km,151.004412,-34.021938,1/1/2023
"LAKEMBA, NSW",2,2,2,5,40.35,-0.05,1 km,151.076939,-33.924525,1/1/2023
"STRATHFIELD, NSW",2,2,4,10,83.6,3.6,1 km,151.084759,-33.881009,1/1/2023
"ALLAMBIE, NSW",4,4,5,23,26.67,2.97,1 km,151.257781,-33.766409,1/1/2023
"BALGOWLAH, NSW",2,2,2,4,43.92,11.74,1 km,151.258069,-33.79315,1/1/2023
"MANLY, NSW",2,2,4,8,22.8,5.14,1 km,151.294675,-33.815482,1/1/2023
"ARNCLIFFE, NSW",2,2,4,4,53.54,17.62,1 km,151.147956,-33.937551,1/1/2023
"FOREST LODGE, NSW",2,2,2,4,62.51,11.92,1 km,151.184458,-33.880179,1/1/2023
"CHULLORA, NSW",2,2,4,13,91.95,46.93,1 km,151.053858,-33.901925,1/1/2023
"NORMANHURST, NSW",4,4,4,13,114.32,37.08,1 km,151.108249,-33.723263,1/1/2023
"MORTDALE, NSW",2,2,2,4,64.25,18.3,1 km,151.071837,-33.980264,1/1/2023
"BLACKWALL, NSW",2,2,2,6,30.75,8.3,1 km,151.331154,-33.482123,1/1/2023
"MOORE PARK, NSW",2,2,4,11,66.47,34.93,1 km,151.227236,-33.895705,1/1/2023
"EPPING, NSW",2,2,4,7,74.91,1.76,1 km,151.079919,-33.774145,1/1/2023
"NORTH TURRAMURRA, NSW",2,2,4,10,58.47,6.4,1 km,151.123716,-33.735222,1/1/2023
"HOMEBUSH BAY, NSW",2,2,4,14,53.18,8.3,1 km,151.076186,-33.85283,1/1/2023
"BLUE HAVEN, NSW",2,2,2,6,63.25,11.55,1 km,151.528042,-33.209125,1/1/2023
"MIRANDA, NSW",2,2,2,5,41.97,7.98,1 km,151.101564,-34.037692,1/1/2023
"ELANORA HEIGHTS, NSW",2,2,4,11,30.48,14.3,1 km,151.27114,-33.707117,1/1/2023
"CONCORD WEST, NSW",2,2,2,4,54.41,3.26,1 km,151.086036,-33.846098,1/1/2023
"EAST HILLS, NSW",2,2,4,4,61.18,7.42,1 km,150.997836,-33.964102,1/1/2023
"ADAMSTOWN, NSW",2,2,2,5,63.03,32.73,1 km,151.71008,-32.948567,1/1/2023
"BALMAIN, NSW",2,2,2,4,56.15,-2.93,1 km,151.180095,-33.858556,1/1/2023
"EASTLAKES, NSW",2,2,4,10,78.44,46.38,1 km,151.202697,-33.9233,1/1/2023
"BAR BEACH, NSW",2,2,2,4,76.21,32.64,1 km,151.778021,-32.931635,1/1/2023
"ST IVES, NSW",4,4,4,16,58.47,6.4,1 km,151.16729,-33.723693,1/1/2023
"KOORAGANG, NSW",2,2,4,10,62.59,28.16,1 km,151.73862,-32.880319,1/1/2023
"PENNANT HILLS, NSW",4,4,4,16,106.92,32.13,1 km,151.07359,-33.731105,1/1/2023
"PYRMONT, NSW",2,2,2,4,44.78,29.47,1 km,151.193055,-33.871222,1/1/2023
"REDFERN, NSW",2,2,4,6,30.48,-27.52,1 km,151.206211,-33.894912,1/1/2023
"ALEXANDRIA, NSW",2,2,4,10,88.63,11.1,1 km,151.194825,-33.910105,1/1/2023
"MASCOT, NSW",4,4,4,22,78.44,46.38,1 km,151.176775,-33.936179,1/1/2023
"BONDI JUNCTION, NSW",2,2,4,5,92.98,59.52,1 km,151.245049,-33.896401,1/1/2023
"CREMORNE, NSW",2,2,2,4,89.05,10.93,1 km,151.223094,-33.828949,1/1/2023
"BURWOOD, NSW",2,2,2,4,83.6,3.6,1 km,151.101757,-33.880049,1/1/2023
"KURRABA POINT, NSW",2,2,4,4,89.05,10.93,1 km,151.2228263,-33.84149573,1/1/2023
"HOMEBUSH, NSW",2,2,2,4,54.41,3.26,1 km,151.070853,-33.835018,1/1/2023
"CLEMTON PARK, NSW",2,2,4,9,87.01,15.39,1 km,151.122881,-33.926056,1/1/2023
"BORONIA PARK, NSW",2,2,4,7,69.83,2.86,1 km,151.124488,-33.829953,1/1/2023
"BLACKSMITHS, NSW",2,2,2,4,25.64,13.17,1 km,151.668857,-33.089963,1/1/2023
"PADSTOW, NSW",2,2,4,10,44.93,0.58,1 km,151.03221,-33.961366,1/1/2023
"DACEYVILLE, NSW",2,2,2,4,102.77,59.36,1 km,151.223936,-33.930314,1/1/2023
"ASHBURY, NSW",2,2,4,9,61.9,16.21,1 km,151.12086,-33.910308,1/1/2023
"REVESBY, NSW",2,2,5,17,61.18,7.42,1 km,151.014547,-33.947286,1/1/2023
"ALLAWAH, NSW",2,2,2,4,31.59,8.55,1 km,151.117453,-33.973161,1/1/2023
"CURL CURL, NSW",2,2,2,5,38.11,13.9,1 km,151.28494,-33.776781,1/1/2023
"CASTLECRAG, NSW",2,2,4,12,90.65,23.36,1 km,151.202715,-33.800881,1/1/2023
"ELEEBANA, NSW",2,2,4,8,38.11,12.22,1 km,151.651275,-32.987279,1/1/2023
"DULWICH HILL, NSW",2,2,2,4,72.67,18.14,1 km,151.138999,-33.90441,1/1/2023
"YAGOONA, NSW",2,2,4,5,54.87,11.91,1 km,151.023171,-33.905586,1/1/2023
"CHESTER HILL, NSW",2,2,4,4,94.58,34.91,1 km,151.004128,-33.88349,1/1/2023
"AVALON, NSW",2,2,2,4,30,6.8,1 km,151.323289,-33.634816,1/1/2023
"MEREWETHER, NSW",2,2,2,4,63.03,32.73,1 km,151.742882,-32.951039,1/1/2023
"BEVERLY HILLS, NSW",2,2,4,4,42.81,13.93,1 km,151.075304,-33.94913,1/1/2023
"DRUMMOYNE, NSW",2,2,4,9,56.15,-2.93,1 km,151.165735,-33.853924,1/1/2023
"DOLLS POINT, NSW",2,2,2,4,24.29,7.88,1 km,151.132495,-33.996587,1/1/2023
"BLAKEHURST, NSW",2,2,4,9,41.97,7.98,1 km,151.10599,-33.992159,1/1/2023
"PYMBLE, NSW",2,2,4,9,39.43,1.81,1 km,151.130278,-33.757296,1/1/2023
"CHERRYBROOK, NSW",2,2,4,4,106.92,32.13,1 km,151.043941,-33.724898,1/1/2023
"COLLAROY, NSW",2,2,4,4,58.78,15.19,1 km,151.297895,-33.739577,1/1/2023
"KANGAROO POINT, NSW",2,2,4,5,41.97,7.98,1 km,151.101891,-34.01362,1/1/2023
"GYMEA, NSW",2,2,2,4,44.56,1.2,1 km,151.085005,-34.04984,1/1/2023
"LEWISHAM, NSW",2,2,2,4,72.67,18.14,1 km,151.15085,-33.897219,1/1/2023
"BELMORE, NSW",2,2,2,4,87.01,15.39,1 km,151.089663,-33.921018,1/1/2023
"BANKSMEADOW, NSW",2,2,4,7,59.16,35.74,1 km,151.207285,-33.946923,1/1/2023
"KOTARA EAST, NSW",2,2,2,5,30.48,5.92,1 km,151.706545,-32.930221,1/1/2023
"EAST LINDFIELD, NSW",2,2,4,5,90.65,23.36,1 km,151.162007,-33.78042,1/1/2023
"KENSINGTON, NSW",2,2,2,4,65.01,-8.05,1 km,151.218435,-33.91139,1/1/2023
"CASTLE COVE, NSW",2,2,4,6,90.65,23.36,1 km,151.195368,-33.780246,1/1/2023
"CHIPPENDALE, NSW",2,2,2,4,130.32,-2.01,1 km,151.193858,-33.891146,1/1/2023
"PENSHURST, NSW",2,2,2,5,31.59,8.55,1 km,151.084774,-33.964713,1/1/2023
"DARLING POINT, NSW",2,2,2,4,80.59,49.02,1 km,151.250494,-33.868972,1/1/2023
"ROSE BAY, NSW",2,2,2,6,59.25,10.52,1 km,151.266989,-33.875709,1/1/2023
"MONA VALE, NSW",2,2,2,8,57.41,21.97,1 km,151.302825,-33.679336,1/1/2023
"KINGSGROVE, NSW",2,2,4,5,59.56,36.43,1 km,151.098002,-33.942632,1/1/2023
"BRONTE, NSW",2,2,2,4,65.01,10.26,1 km,151.259392,-33.904414,1/1/2023
"JESMOND, NSW",2,2,2,4,57.48,15.98,1 km,151.704581,-32.909816,1/1/2023
"ARGENTON, NSW",2,2,2,5,60.8,24.87,1 km,151.621183,-32.953236,1/1/2023
"ARTARMON, NSW",2,2,4,6,96.9,47.43,1 km,151.183801,-33.813209,1/1/2023
"HAMILTON, NSW",2,2,2,4,40.66,14.06,1 km,151.743325,-32.924571,1/1/2023
"FRENCHS FOREST, NSW",2,2,4,6,40.29,10.36,1 km,151.229211,-33.75185,1/1/2023
"EAST KILLARA, NSW",2,2,4,4,58.47,6.4,1 km,151.1814551,-33.75536381,1/1/2023
"BELLEVUE HILL, NSW",2,2,2,4,81.28,18.85,1 km,151.25591,-33.884685,1/1/2023
"BONNET BAY, NSW",2,2,2,4,38.11,6.05,1 km,151.063808,-34.009345,1/1/2023
"ANNANDALE, NSW",2,2,2,4,62.51,11.92,1 km,151.170165,-33.881624,1/1/2023
"ROZELLE, NSW",2,2,2,8,62.51,11.92,1 km,151.171915,-33.867187,1/1/2023
"FORESTVILLE, NSW",2,2,4,11,21.09,5.75,1 km,151.210531,-33.766093,1/1/2023
"BELROSE, NSW",4,4,4,12,30.48,14.3,1 km,151.211719,-33.728782,1/1/2023
"CROYDON PARK, NSW",2,2,2,7,44.76,23.12,1 km,151.102087,-33.898793,1/1/2023
"BROADWAY, NSW",2,2,2,4,2.5,1.3,1 km,151.19665,-33.883189,1/1/2023
"NEWPORT, NSW",2,2,2,4,22.38,7.6,1 km,151.314599,-33.660707,1/1/2023
"GEORGETOWN, NSW",2,2,2,4,40.66,14.06,1 km,151.722243,-32.905633,1/1/2023
"KIRRIBILLI, NSW",2,2,2,4,136.82,59.95,1 km,151.212372,-33.848785,1/1/2023
"WOOLLAHRA, NSW",2,2,2,4,66.47,34.93,1 km,151.240508,-33.88871,1/1/2023
"ST PETERS, NSW",2,2,4,8,88.63,11.1,1 km,151.17074,-33.920698,1/1/2023
"CROYDON, NSW",2,2,4,5,83.6,3.6,1 km,151.113385,-33.882419,1/1/2023
"BEECROFT, NSW",2,2,4,4,106.92,32.13,1 km,151.064176,-33.755499,1/1/2023
"HUNTERS HILL, NSW",2,2,4,4,69.83,2.86,1 km,151.149126,-33.836102,1/1/2023
"CAMMERAY, NSW",2,2,4,5,89.05,10.93,1 km,151.21246,-33.822837,1/1/2023
"SUMMER HILL, NSW",2,2,2,4,59.84,23.57,1 km,151.135883,-33.892783,1/1/2023
"KURRI KURRI, NSW",2,2,2,4,57.27,22.45,1 km,151.486212,-32.820688,1/1/2023
"WARRIEWOOD, NSW",2,2,2,4,57.41,21.97,1 km,151.290953,-33.689941,1/1/2023
"BIRRONG, NSW",2,2,4,5,54.87,11.91,1 km,151.021934,-33.885382,1/1/2023
"GORDON, NSW",2,2,2,4,39.43,1.81,1 km,151.153176,-33.754582,1/1/2023
"BASS HILL, NSW",2,2,2,4,94.58,34.91,1 km,150.998155,-33.901198,1/1/2023
"BURWOOD HEIGHTS, NSW",2,2,2,4,44.76,23.12,1 km,151.087741,-33.892944,1/1/2023
"FERN BAY, NSW",2,2,2,4,24.75,18.34,1 km,151.80174,-32.879469,1/1/2023
"ABERMAIN, NSW",2,2,2,4,20.77,19.02,1 km,151.453148,-32.785207,1/1/2023
"FAIRLIGHT, NSW",2,2,2,4,22.86,5.14,1 km,151.273242,-33.795227,1/1/2023
"GEORGES HALL, NSW",2,2,2,4,94.58,34.91,1 km,150.986277,-33.908788,1/1/2023
"HABERFIELD, NSW",2,2,4,7,59.84,23.57,1 km,151.138684,-33.879301,1/1/2023
"SEAFORTH, NSW",2,2,2,4,43.92,11.74,1 km,151.241813,-33.796636,1/1/2023
"MOUNT COLAH, NSW",2,2,2,4,42.33,16.2,1 km,151.112681,-33.666637,1/1/2023
"NORTHBRIDGE, NSW",2,2,2,4,89.05,10.93,1 km,151.214797,-33.812636,1/1/2023
"BELFIELD, NSW",2,2,2,4,44.76,23.12,1 km,151.085513,-33.906803,1/1/2023
"FOUNTAINDALE, NSW",2,2,4,9,59.9,10.81,1 km,151.3433,-33.333187,1/1/2023
"BEROWRA CREEK, NSW",2,2,2,4,42.33,16.2,1 km,151.138709,-33.54620871,1/1/2023
"ARCADIA, NSW",2,2,2,4,38.11,23.24,1 km,151.084146,-33.539148,1/1/2023
"BEROWRA, NSW",4,4,4,13,42.33,16.2,1 km,151.150498,-33.619756,1/1/2023
"SHORTLAND, NSW",2,2,4,5,57.48,15.98,1 km,151.688102,-32.88365,1/1/2023
"CARLINGFORD, NSW",2,2,4,13,70,30.69,1 km,151.043518,-33.775596,1/1/2023
"CARAVAN HEAD, NSW",2,2,2,5,25,6.9,1 km,151.087892,-33.997441,1/1/2023
"CARRAMAR, NSW",2,2,4,6,25,5.35,1 km,150.979458,-33.887203,1/1/2023
"DURAL, NSW",2,2,2,8,25,4.71,1 km,151.040358,-33.690331,1/1/2023
"MILPERRA, NSW",2,2,4,4,61.18,7.42,1 km,150.981592,-33.941443,1/1/2023
"BROADMEADOW, NSW",2,2,2,4,40.66,14.06,1 km,151.740716,-32.931589,1/1/2023
"MARYVILLE, NSW",2,2,2,4,23.82,0.72,1 km,151.754696,-32.917776,1/1/2023
"BAYVIEW, NSW",2,2,2,4,57.41,21.97,1 km,151.290921,-33.664921,1/1/2023
"HOLMESVILLE, NSW",2,2,2,4,22.86,-3.88,1 km,151.532669,-32.923321,1/1/2023
"WEST PENNANT HILLS, NSW",2,2,4,10,35,11.54,1 km,151.031807,-33.752645,1/1/2023
"SILVERWATER, NSW",2,2,2,4,41.01,12.59,1 km,151.047591,-33.835928,1/1/2023
"COTTAGE POINT, NSW",2,2,2,4,2.5,0.1,1 km,151.216929,-33.650999,1/1/2023
"COASTERS RETREAT, NSW",2,2,2,4,19.7,9.16,1 km,151.322759,-33.60382,1/1/2023
"WANGI WANGI, NSW",2,2,2,4,38.11,24.83,1 km,151.591728,-33.086545,1/1/2023
"CASTLE HILL, NSW",4,4,4,13,50,22.32,1 km,151.000948,-33.73238,1/1/2023
"ISLINGTON, NSW",2,2,2,5,23.82,0.72,1 km,151.746237,-32.915698,1/1/2023
"CARRINGTON, NSW",2,2,2,4,16,6.1,1 km,151.767408,-32.915791,1/1/2023
"KURNELL, NSW",2,2,2,4,38.11,30.13,1 km,151.193492,-34.029927,1/1/2023
"CHURCH POINT, NSW",2,2,2,4,57.41,21.97,1 km,151.278293,-33.642202,1/1/2023
"BARNSLEY, NSW",2,2,2,4,22.86,-3.88,1 km,151.590415,-32.932412,1/1/2023
"MOUNT KURING-GAI, NSW",2,2,2,4,42.3,16.2,1 km,151.143563,-33.658174,1/1/2023
"NEWCASTLE WEST, NSW",2,2,2,4,76.21,32.64,1 km,151.752466,-32.931265,1/1/2023
"TIGHES HILL, NSW",2,2,2,4,23.82,0.72,1 km,151.750126,-32.909135,1/1/2023
"PLEASURE POINT, NSW",2,2,2,4,50,25.88,1 km,150.917444,-33.951109,1/1/2023
"DENISTONE, NSW",2,2,4,18,103.84,34.29,1 km,151.084181,-33.810991,1/1/2023
"ERMINGTON, NSW",2,2,2,4,58,20.3,1 km,151.059845,-33.813106,1/1/2023
"RYDALMERE, NSW",2,2,2,4,58,20.3,1 km,151.036941,-33.814368,1/1/2023
"DUNDAS, NSW",2,2,2,4,58,20.3,1 km,151.04218,-33.797127,1/1/2023
"CARLINGFORD, NSW",2,2,4,13,70,30.69,1 km,151.043518,-33.775596,1/1/2023
"EPPING, NSW",2,2,4,7,74.91,1.76,1 km,151.079919,-33.774145,1/1/2023
"EASTWOOD, NSW",2,2,4,8,103.84,34.29,1 km,151.092072,-33.791357,1/1/2023
"WEST PENNANT HILLS, NSW",2,2,4,10,35,11.54,1 km,151.031807,-33.752645,1/1/2023
"CHERRYBROOK, NSW",2,2,4,4,106.92,32.13,1 km,151.043941,-33.724898,1/1/2023
"BLAXCELL, NSW",4,4,5,16,25,-2.54,1 km,151.015196,-33.832747,1/1/2023
"CONSTITUTION HILL, NSW",4,4,7,26,45,10.64,1 km,150.9751544,-33.79382308,1/1/2023
"OLD TOONGABBIE, NSW",2,2,2,4,45,10.64,1 km,150.959508,-33.789374,1/1/2023
"KINGS LANGLEY, NSW",2,2,4,13,90,37.65,1 km,150.935836,-33.766075,1/1/2023
"ARNDELL PARK, NSW",2,2,4,18,90,51.7,1 km,150.900547,-33.783751,1/1/2023
"HARRIS PARK, NSW",2,2,4,8,50,25.69,1 km,151.006506,-33.814463,1/1/2023
"NORTH PARRAMATTA, NSW",2,2,4,8,55,20.83,1 km,151.012511,-33.78709,1/1/2023
"NORTHMEAD, NSW",2,2,2,5,25,4.61,1 km,150.996388,-33.782501,1/1/2023
"BAULKHAM HILLS, NSW",2,2,4,10,50,13.08,1 km,150.955942,-33.731651,1/1/2023
"CASTLE HILL, NSW",4,4,4,13,50,22.32,1 km,151.000948,-33.73238,1/1/2023
"BEAUMONT HILLS, NSW",2,2,4,10,90,-8.17,1 km,150.931074,-33.731523,1/1/2023
"ANNANGROVE, NSW",2,2,2,4,90,-8.17,1 km,150.974528,-33.656984,1/1/2023
"DURAL, NSW",2,2,2,8,25,4.71,1 km,151.040358,-33.690331,1/1/2023
"MERRYLANDS, NSW",2,2,2,5,25,-2.54,1 km,150.976594,-33.835883,1/1/2023
"GUILDFORD, NSW",2,2,2,4,25,-2.54,1 km,150.983724,-33.858335,1/1/2023
"CHESTER HILL, NSW",2,2,4,4,94.58,34.91,1 km,151.004128,-33.88349,1/1/2023
"CARRAMAR, NSW",2,2,4,6,25,5.35,1 km,150.979458,-33.887203,1/1/2023
"SMITHFIELD, NSW",2,2,4,6,50,12.14,1 km,150.875028,-33.844153,1/1/2023
"FAIRFIELD, NSW",2,2,4,9,50,15.95,1 km,150.947496,-33.872435,1/1/2023
"CABRAMATTA, NSW",2,2,4,15,50,18.07,1 km,150.92937,-33.892738,1/1/2023
"ASHCROFT, NSW",2,2,2,4,50,9.71,1 km,150.875345,-33.915939,1/1/2023
"CASULA, NSW",4,4,11,45,35,3.03,1 km,150.921448,-33.928392,1/1/2023
"CARNES HILL, NSW",2,2,4,13,50,-0.47,1 km,150.8487366,-33.93771581,1/1/2023
"PLEASURE POINT, NSW",2,2,2,4,50,25.88,1 km,150.917444,-33.951109,1/1/2023
"HOLSWORTHY, NSW",2,2,4,4,50,25.88,1 km,150.919554,-34.074239,1/1/2023
"EDMONDSON PARK, NSW",2,2,4,4,50,10.64,1 km,150.85682,-33.958081,1/1/2023
"HORSLEY PARK, NSW",2,2,2,4,25,14.64,1 km,150.848192,-33.845034,1/1/2023
"ABBOTSBURY, NSW",2,2,4,9,45,4.69,1 km,150.88526,-33.872014,1/1/2023
"BONNYRIGG, NSW",2,2,2,4,70,34.77,1 km,150.879379,-33.895053,1/1/2023
"CECIL PARK, NSW",2,2,2,4,25,14.64,1 km,150.838225,-33.87478,1/1/2023
"AUSTRAL, NSW",2,2,4,8,50,-0.47,1 km,150.812031,-33.933109,1/1/2023
"CONISTON, NSW",4,4,5,22,19,4.86,1 km,150.874294,-34.423171,1/1/2023
"CRINGILA, NSW",2,2,2,4,25,11.62,1 km,150.873081,-34.494723,1/1/2023
"KEMBLAWARRA, NSW",2,2,4,9,25,11.62,1 km,150.943899,-34.466406,1/1/2023
"BERKELEY, NSW",2,2,2,4,24,5.73,1 km,150.840792,-34.48494,1/1/2023
"COALCLIFF, NSW",2,2,2,4,5,-0.66,1 km,150.969679,-34.230944,1/1/2023
"AUSTINMER, NSW",2,2,2,5,5,-0.66,1 km,150.9299,-34.300293,1/1/2023
"BULLI, NSW",2,2,2,4,15,3.08,1 km,150.904835,-34.332109,1/1/2023
"RUSSELL VALE, NSW",2,2,2,4,25,9.54,1 km,150.891169,-34.349362,1/1/2023
"BELLAMBI, NSW",2,2,4,10,25,9.54,1 km,150.886721,-34.373654,1/1/2023
"BALGOWNIE, NSW",2,2,4,9,19,1.11,1 km,150.709623,-34.35558,1/1/2023
"FIGTREE, NSW",2,2,2,4,25,1.98,1 km,150.818904,-34.437229,1/1/2023
"CORDEAUX, NSW",2,2,4,7,25,1.98,1 km,150.77681,-34.380765,1/1/2023
"ALBION PARK, NSW",2,2,4,14,25,0.09,1 km,150.7757276,-34.57564006,1/1/2023
"BARRACK HEIGHTS, NSW",2,2,2,4,40,5.83,1 km,150.855135,-34.548722,1/1/2023
"BLACKBUTT, NSW",2,2,4,8,40,5.83,1 km,150.84584,-34.592433,1/1/2023
"AVONDALE, NSW",4,4,4,13,50,12.58,1 km,150.766132,-34.505411,1/1/2023
"CATHERINE FIELD, NSW",2,2,2,4,70,-7.93,1 km,150.774858,-33.993545,1/1/2023
"EAGLE VALE, NSW",2,2,2,4,70,17.51,1 km,150.799483,-34.031602,1/1/2023
"AIRDS, NSW",4,4,7,24,33,-1.4,1 km,150.768408,-34.194216,1/1/2023
"GLENQUARIE, NSW",2,2,2,4,33,5.54,1 km,150.894916,-33.998362,1/1/2023
"BARDIA, NSW",2,2,4,11,35,23.91,1 km,150.8618744,-33.97723383,1/1/2023
"BOW BOWING, NSW",2,2,2,4,66,6.58,1 km,150.842258,-34.027283,1/1/2023
"CURRANS HILL, NSW",2,2,4,7,70,-7.93,1 km,150.756493,-34.055155,1/1/2023
"GLENMORE PARK, NSW",2,2,4,9,45,-1.57,1 km,150.671487,-33.871341,1/1/2023
"CADDENS, NSW",2,2,4,14,50,6.12,1 km,150.7376907,-33.77413222,1/1/2023
"ORCHARD HILLS, NSW",2,2,2,4,50,6.12,1 km,150.72319,-33.811042,1/1/2023
"EMU HEIGHTS, NSW",4,4,10,33,50,13.94,1 km,150.678551,-33.755476,1/1/2023
"AGNES BANKS, NSW",2,2,2,4,35,7.95,1 km,150.646053,-33.604022,1/1/2023
"NORTH RICHMOND, NSW",2,2,2,6,25,6.12,1 km,150.72802,-33.557893,1/1/2023
"BLIGH PARK, NSW",2,2,4,11,50,9.02,1 km,150.88744,-33.466271,1/1/2023
"KURMOND, NSW",2,2,2,4,25,6.82,1 km,150.692086,-33.554839,1/1/2023
"ERSKINE PARK, NSW",2,2,4,4,90,15.69,1 km,150.781767,-33.82252,1/1/2023
"COLYTON, NSW",2,2,4,9,44,8.46,1 km,150.780073,-33.763976,1/1/2023
"COLEBEE, NSW",2,2,4,11,50,4.45,1 km,150.84746,-33.742006,1/1/2023
